method,evaluation,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,best_f1,elapsed_time
QMC,1,142,21,10,4,0.6575567994731643,0.6575567994731643,0.8956960460000118
QMC,2,195,11,17,10,0.6340136054421769,0.6575567994731643,1.5310878430009325
QMC,3,266,29,5,5,0.6651473221552987,0.6651473221552987,3.352482541000427
QMC,4,72,6,12,13,0.5787295303221163,0.6651473221552987,3.508412414999839
QMC,5,51,25,19,14,0.6486933509758518,0.6651473221552987,3.8134935289999703
QMC,6,252,9,8,8,0.6278195488721805,0.6651473221552987,4.486378158000662
QMC,7,183,17,15,10,0.6488638248465749,0.6651473221552987,5.407456357999763
QMC,8,120,14,3,2,0.645937813440321,0.6651473221552987,6.037698336000176
QMC,9,99,27,14,6,0.6628571428571428,0.6651473221552987,6.709689867000634
QMC,10,169,5,3,14,0.5401542223058116,0.6651473221552987,7.032312568000634
QMC,11,240,22,18,2,0.6630683676807327,0.6651473221552987,8.73155704599958
QMC,12,28,13,7,8,0.6389445557782231,0.6651473221552987,8.892069421000997
QMC,13,77,19,6,11,0.646746347941567,0.6651473221552987,9.328683756000828
QMC,14,296,16,13,3,0.6493419956688322,0.6651473221552987,10.884425653001017
QMC,15,226,24,11,12,0.6498266468548787,0.6651473221552987,12.106078922999586
QMC,16,146,8,17,6,0.615916955017301,0.6651473221552987,12.482418798001163
QMC,17,154,25,3,9,0.6536569367005576,0.6651473221552987,13.359890956000527
QMC,18,219,9,14,1,0.6305200341005968,0.6651473221552987,13.95194156800062
QMC,19,288,20,7,13,0.6470978441127695,0.6651473221552987,15.34066497800086
QMC,20,84,17,18,7,0.6487568830302018,0.6651473221552987,15.777960966001046
QMC,21,36,23,13,5,0.6597938144329897,0.6651473221552987,16.028390315999786
QMC,22,232,14,6,13,0.6408876933422999,0.6651473221552987,16.946592731001147
QMC,23,161,28,17,4,0.6627565982404692,0.6651473221552987,18.03935854500014
QMC,24,106,5,10,10,0.5174689440993789,0.6651473221552987,18.24320261899993
QMC,25,110,18,16,12,0.6450643059963254,0.6651473221552987,18.78975086399987
QMC,26,193,15,9,6,0.6484414069011502,0.6651473221552987,19.680617604999497
QMC,27,262,26,11,11,0.6506657899062962,0.6651473221552987,21.064712684999904
QMC,28,41,10,4,3,0.6320595197835644,0.6651473221552987,21.22653217900006
QMC,29,62,29,9,3,0.6681774036905147,0.6681774036905147,21.731012903999726
QMC,30,276,7,20,9,0.596930675604163,0.6681774036905147,22.333643265999854
QMC,31,205,21,4,7,0.6555482166446499,0.6681774036905147,23.592659537000145
QMC,32,132,12,15,15,0.63256288239293,0.6681774036905147,24.079681106999487
QMC,33,127,29,18,10,0.6523675961062531,0.6681774036905147,24.8259276330009
QMC,34,210,6,7,4,0.5802978647048268,0.6681774036905147,25.23571936600092
QMC,35,279,21,13,13,0.6484336151168573,0.6681774036905147,26.60906847499973
QMC,36,58,11,2,5,0.6393248945147679,0.6681774036905147,26.82757220700114
QMC,37,44,18,11,8,0.6454196562656432,0.6681774036905147,27.088322907000475
QMC,38,258,14,18,14,0.6382333108563722,0.6681774036905147,28.08885809000094
QMC,39,187,26,6,1,0.6700080840743735,0.6700080840743735,29.84773942799984
QMC,40,115,9,13,9,0.6201765011247621,0.6700080840743735,30.167605743999957
QMC,41,101,22,5,15,0.6467579607325524,0.6700080840743735,30.688175733999742
QMC,42,166,12,12,7,0.637529530880864,0.6700080840743735,31.29010653700061
QMC,43,236,27,9,8,0.6547070441079658,0.6700080840743735,32.68991937300052
QMC,44,32,4,16,2,0.5138431752178122,0.6700080840743735,32.77924670900029
QMC,45,88,24,15,3,0.661404374280546,0.6700080840743735,33.426415072000964
QMC,46,284,8,3,11,0.6074228959749085,0.6700080840743735,34.09049271100048
QMC,47,214,19,19,6,0.65244708994709,0.6700080840743735,35.23824338700069
QMC,48,158,16,8,12,0.6465890183028287,0.6700080840743735,35.944368765000036
QMC,49,151,20,12,2,0.659753086419753,0.6700080840743735,37.047851195000476
QMC,50,221,16,5,9,0.6461179606797735,0.6700080840743735,38.095343208000486
QMC,51,292,25,16,8,0.6586845989831065,0.6700080840743735,39.814814569999726
QMC,52,80,8,9,14,0.6113430758524704,0.6700080840743735,40.03070205599943
QMC,53,24,28,4,13,0.6529334212261042,0.6700080840743735,40.1917249800008
QMC,54,243,5,15,5,0.5461351300767359,0.6700080840743735,40.62624337899979
QMC,55,174,23,8,10,0.6508542046773926,0.6700080840743735,41.58561301200098
QMC,56,93,13,20,4,0.6412111017661901,0.6700080840743735,41.992005557000084
QMC,57,125,26,8,6,0.6590389016018307,0.6700080840743735,42.78053100100078
QMC,58,178,10,19,12,0.6311657279399215,0.6700080840743735,43.34905445500044
QMC,59,248,18,3,3,0.6555961474593158,0.6700080840743735,44.831046580000475
QMC,60,54,15,14,11,0.6419959812458138,0.6700080840743735,45.104771747000996
QMC,61,68,22,17,8,0.6529334212261042,0.6700080840743735,45.542464641999686
QMC,62,270,12,10,2,0.6414839797639124,0.6700080840743735,46.591677020000134
QMC,63,200,30,12,15,0.6473509933774835,0.6700080840743735,47.61645873499947
QMC,64,137,7,6,7,0.5959399823477494,0.6700080840743735,47.92893668800025
